ÎÄ¼şÂ·¾¶,ÎÄ¼şÃû,Ê¶±ğ½á¹û
D:/OneDrive@sjtu.edu.cn/ALGO/wool cashmere/AutoClassifierRelease/testset/ca0008.jpg,ca0008,0: ÑòÈŞ 
D:/OneDrive@sjtu.edu.cn/ALGO/wool cashmere/AutoClassifierRelease/testset/ca0008.jpg,ca0008,0: ÑòÈŞ 
D:/OneDrive@sjtu.edu.cn/ALGO/wool cashmere/AutoClassifierRelease/testset/ca0009.jpg,ca0009,0: ÑòÈŞ 
D:/OneDrive@sjtu.edu.cn/ALGO/wool cashmere/AutoClassifierRelease/testset/ca0010.jpg,ca0010,0: ÑòÈŞ 
D:/OneDrive@sjtu.edu.cn/ALGO/wool cashmere/AutoClassifierRelease/testset/ca0011.jpg,ca0011,0: ÑòÈŞ 1: ÑòÈŞ 2: ÑòÈŞ 
D:/OneDrive@sjtu.edu.cn/ALGO/wool cashmere/AutoClassifierRelease/testset/ca0012.jpg,ca0012,0: ÑòÈŞ 
D:/OneDrive@sjtu.edu.cn/ALGO/wool cashmere/AutoClassifierRelease/testset/ca0013.jpg,ca0013,0: ÑòÈŞ 1: ÑòÈŞ 
D:/OneDrive@sjtu.edu.cn/ALGO/wool cashmere/AutoClassifierRelease/testset/w0001.jpg,w0001,0: ÑòÃ« 
D:/OneDrive@sjtu.edu.cn/ALGO/wool cashmere/AutoClassifierRelease/testset/w0002.jpg,w0002,0: ÑòÃ« 1: ÑòÃ« 
D:/OneDrive@sjtu.edu.cn/ALGO/wool cashmere/AutoClassifierRelease/testset/w0003.jpg,w0003,0: ÑòÃ« 
D:/OneDrive@sjtu.edu.cn/ALGO/wool cashmere/AutoClassifierRelease/testset/w0004.jpg,w0004,0: ÑòÃ« 
D:/OneDrive@sjtu.edu.cn/ALGO/wool cashmere/AutoClassifierRelease/testset/w0005.jpg,w0005,0: ÑòÃ« 
D:/OneDrive@sjtu.edu.cn/ALGO/wool cashmere/AutoClassifierRelease/testset/w0006.jpg,w0006,0: ÑòÃ« 
D:/OneDrive@sjtu.edu.cn/ALGO/wool cashmere/AutoClassifierRelease/testset/w0007.jpg,w0007,0: ÑòÃ« 
D:/OneDrive@sjtu.edu.cn/ALGO/wool cashmere/AutoClassifierRelease/testset/w0008.jpg,w0008,0: ÑòÃ« 
D:/OneDrive@sjtu.edu.cn/ALGO/wool cashmere/AutoClassifierRelease/testset/w0009.jpg,w0009,0: ÑòÃ« 1: ÑòÃ« 
D:/OneDrive@sjtu.edu.cn/ALGO/wool cashmere/AutoClassifierRelease/testset/w0010.jpg,w0010,0: ÑòÃ« 
D:/OneDrive@sjtu.edu.cn/ALGO/wool cashmere/AutoClassifierRelease/testset/w0011.jpg,w0011,0: ÑòÃ« 1: ÑòÃ« 
D:/OneDrive@sjtu.edu.cn/ALGO/wool cashmere/AutoClassifierRelease/testset/w0012.jpg,w0012,0: ÑòÃ« 
D:/OneDrive@sjtu.edu.cn/ALGO/wool cashmere/AutoClassifierRelease/testset/w0013.jpg,w0013,0: ÑòÃ« 
